X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
-117.30	5.00	6.49	-0.0784314	-0.0173796
-116.28	4.78	6.40	-0.269608	-0.209429
-115.26	4.45	6.21	-0.25	-0.190694
-114.24	4.27	6.16	-0.259804	-0.20137
-113.22	3.92	5.94	-0.485294	-0.427733
-112.20	3.28	5.42	-0.348039	-0.291351
-111.18	3.21	5.48	-0.0539216	0.00189356
-110.16	3.17	5.57	-0.107843	-0.0529008
-109.14	2.99	5.51	-0.156863	-0.102793
-108.12	2.85	5.50	-0.0392157	0.0139811
-107.10	2.91	5.68	-0.00980392	0.0425201
-106.08	2.83	5.72	-0.151961	-0.10051
-105.06	2.60	5.62	-0.230392	-0.179814
-104.04	2.36	5.49	-0.20098	-0.151275
